"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner1_id","winner2_id","winner_entry","loser1_id","loser2_id","loser_entry","score","best_of","round","winner1_name","winner1_hand","winner1_ioc","winner1_age","winner2_name","winner2_hand","winner2_ioc","winner2_age","loser1_name","loser1_hand","loser1_ioc","loser1_age","loser2_name","loser2_hand","loser2_ioc","loser2_age","winner1_rank","winner1_rank_points","winner2_rank","winner2_rank_points","loser1_rank","loser1_rank_points","loser2_rank","loser2_rank_points","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","w_1st_Per","l_1st_Per","w_first_won_per","l_first_won_per","w_per_pair_mean_age","l_per_pair_mean_age","w_age_diff","l_age_diff"
"1","2019-M020","Brisbane","Hard",32,"A",2018-12-31,269,105428,105323,"",104330,110749,"","6-4 7-6(6)",3,"F","Marcus Daniell","R","NZL",29.14168378,"Wesley Koolhof","R","NED",29.70568104,"Rajeev Ram","R","USA",34.7871321,"Joe Salisbury","U","GBR",26.69678303,51,1514,42,1795,21,3150,30,2517,3,2,69,49,34,12,11,3,5,4,0,65,43,31,12,11,4,7,71.0144927536232,66.1538461538461,69.3877551020408,72.0930232558139,29.42368241,30.741957565,0.563997260000001,8.09034907
"2","2019-M020","Brisbane","Hard",32,"A",2018-12-31,268,104330,110749,"",105902,111442,"WC","7-6(5) 6-3",3,"SF","Rajeev Ram","R","USA",34.7871321,"Joe Salisbury","U","GBR",26.69678303,"James Duckworth","R","AUS",26.9431896,"Jordan Thompson","R","AUS",24.69815195,21,3150,30,2517,52,1485,296,142,7,4,59,38,32,15,11,1,2,5,2,60,39,29,13,10,5,7,64.4067796610169,65,84.2105263157895,74.3589743589744,30.741957565,25.820670775,8.09034907,2.24503765
"3","2019-M020","Brisbane","Hard",32,"A",2018-12-31,267,105428,105323,"",105357,105441,"","6-7(4) 7-6(2) (10-8)",3,"SF","Marcus Daniell","R","NZL",29.14168378,"Wesley Koolhof","R","NED",29.70568104,"John Millman","R","AUS",29.54688569,"John Patrick Smith","L","AUS",29.07323751,51,1514,42,1795,285,160,81,1056,2,2,87,60,43,12,12,6,8,4,1,85,58,39,15,12,1,3,68.9655172413793,68.2352941176471,71.6666666666667,67.2413793103448,29.42368241,29.3100616,0.563997260000001,0.473648180000001
"4","2019-M020","Brisbane","Hard",32,"A",2018-12-31,266,105902,111442,"WC",102963,105683,"","6-4 7-5",3,"QF","James Duckworth","R","AUS",26.9431896,"Jordan Thompson","R","AUS",24.69815195,"Robert Lindstedt","R","SWE",41.78507871,"Milos Raonic","R","CAN",28.0109514,75,1179,296,142,46,1680,68,1341,4,0,55,43,33,10,11,3,4,3,4,55,29,21,16,11,2,5,78.1818181818182,52.7272727272727,76.7441860465116,72.4137931034483,25.820670775,34.898015055,2.24503765,13.77412731
"5","2019-M020","Brisbane","Hard",32,"A",2018-12-31,265,104330,110749,"",105572,104677,"","6-2 4-6 (10-8)",3,"QF","Rajeev Ram","R","USA",34.7871321,"Joe Salisbury","U","GBR",26.69678303,"Austin Krajicek","L","USA",28.54209446,"Artem Sitak","R","NZL",32.89253936,21,3150,30,2517,41,1849,34,2275,9,2,58,36,27,14,9,1,2,2,1,61,43,23,14,9,4,6,62.0689655172414,70.4918032786885,75,53.4883720930233,30.741957565,30.71731691,8.09034907,4.3504449
"6","2019-M020","Brisbane","Hard",32,"A",2018-12-31,264,105428,105323,"",106378,105439,"","6-1 7-6(5)",3,"QF","Marcus Daniell","R","NZL",29.14168378,"Wesley Koolhof","R","NED",29.70568104,"Kyle Edmund","R","GBR",23.97809719,"Neal Skupski","R","GBR",29.08145106,51,1514,42,1795,161,430,33,2320,3,3,49,27,25,16,9,1,1,1,4,65,40,25,11,10,6,9,55.1020408163265,61.5384615384615,92.5925925925926,62.5,29.42368241,26.529774125,0.563997260000001,5.10335387
"7","2019-M020","Brisbane","Hard",32,"A",2018-12-31,263,105357,105441,"",110758,105526,"","7-6(5) 6-4",3,"QF","John Millman","R","AUS",29.54688569,"John Patrick Smith","L","AUS",29.07323751,"Ben Mclachlan","R","NZL",26.64202601,"Jan Lennard Struff","R","GER",28.6844627,285,160,81,1056,18,3300,22,3080,3,0,63,45,33,10,11,2,4,6,3,67,44,33,9,11,3,6,71.4285714285714,65.6716417910448,73.3333333333333,75,29.3100616,27.663244355,0.473648180000001,2.04243669
"8","2019-M020","Brisbane","Hard",32,"A",2018-12-31,262,102963,105683,"",103184,103185,"","3-6 6-4 (10-7)",3,"R32","Robert Lindstedt","R","SWE",41.78507871,"Milos Raonic","R","CAN",28.0109514,"Bob Bryan","L","USA",40.67351129,"Mike Bryan","R","USA",40.67351129,46,1680,8,5170,14,4355,1,10840,9,3,56,38,35,8,9,1,2,4,1,57,42,32,12,10,0,1,67.8571428571429,73.6842105263158,92.1052631578947,76.1904761904762,34.898015055,40.67351129,13.77412731,0
"9","2019-M020","Brisbane","Hard",32,"A",2018-12-31,261,105902,111442,"WC",105453,106415,"","7-6(12) 6-4",3,"R32","James Duckworth","R","AUS",26.9431896,"Jordan Thompson","R","AUS",24.69815195,"Kei Nishikori","R","JPN",29.00479124,"Yoshihito Nishioka","L","JPN",23.26078029,51,1658,296,142,27,2620,338,105,4,3,70,41,36,12,11,3,6,0,2,77,55,34,12,11,5,9,58.5714285714286,71.4285714285714,87.8048780487805,61.8181818181818,25.820670775,26.132785765,2.24503765,5.74401095
"10","2019-M020","Brisbane","Hard",32,"A",2018-12-31,260,104330,110749,"",105777,105992,"","6-2 7-5",3,"R32","Rajeev Ram","R","USA",34.7871321,"Joe Salisbury","U","GBR",26.69678303,"Grigor Dimitrov","R","BUL",27.62765229,"Ryan Harrison","R","USA",26.65023956,21,3150,30,2517,299,135,102,825,4,1,44,32,30,10,10,0,0,3,3,56,39,27,7,10,2,5,72.7272727272727,69.6428571428571,93.75,69.2307692307692,30.741957565,27.138945925,8.09034907,0.977412730000001
